,time1,signal1,time2,signal2
0,0,53.97142857,0,16.11428571
1,0.11,51.08571429,0.11,5.628571429
2,0.22,49.05714286,0.22,0
3,0.33,48.28571429,0.33,2.428571429
4,0.44,56.91428571,0.44,2.542857143
5,0.55,52.97142857,0.55,1.428571429
6,0.66,57.82857143,0.66,5.828571429
7,0.77,58.4,0.77,2.514285714
8,0.88,67.6,0.88,2.485714286
9,0.97,64.42857143,0.97,4.228571429
10,1.08,52.68571429,1.08,17.2
11,1.19,52.17142857,1.19,30.48571429
12,1.3,62.31428571,1.3,38.97142857
13,1.41,60.77142857,1.41,36.82857143
14,1.52,54.8,1.52,18.6
15,1.63,53.57142857,1.63,20.91428571
16,1.73,58.11428571,1.73,22.88571429
17,1.84,56.48571429,1.84,17.25714286
18,1.95,54.31428571,1.95,4.942857143
19,2.06,62.6,2.06,15.94285714
20,2.17,73.77142857,2.17,25.94285714
21,2.28,87.05714286,2.28,26.57142857
22,2.39,83.05714286,2.39,26.68571429
23,2.5,78.22857143,2.5,24.08571429
24,2.59,62.94285714,2.59,17.4
25,2.7,65.71428571,2.7,16.88571429
26,2.81,73.17142857,2.81,27.34285714
27,2.92,73.85714286,2.92,25.22857143
28,3.03,59.17142857,3.03,20.97142857
29,3.14,59.28571429,3.14,13.31428571
30,3.25,66.57142857,3.25,17.51428571
31,3.38,75.08571429,3.38,7.628571429
32,3.48,73.62857143,3.48,9.142857143
33,3.59,67.14285714,3.59,9.371428571
34,3.7,53.11428571,3.7,22.57142857
35,3.81,57.4,3.81,28.91428571
36,3.92,59,3.92,35.28571429
37,4.03,67.82857143,4.03,33.91428571
38,4.13,74.08571429,4.13,31.77142857
39,4.23,85,4.23,28.17142857
40,4.36,72.48571429,4.36,19.08571429
41,4.47,64.2,4.47,18.71428571
42,4.58,63.91428571,4.58,25.11428571
43,4.69,59.94285714,4.69,23.91428571
44,4.8,60.37142857,4.8,17.71428571
45,4.91,63.02857143,4.91,23.42857143
46,5.02,75.22857143,5.02,32.25714286
47,5.13,75.34285714,5.13,34.97142857
48,5.23,79.68571429,5.23,35.48571429
49,5.36,81.65714286,5.36,38.6
50,5.47,72.2,5.47,29.77142857
51,5.58,66.94285714,5.58,24.37142857
52,5.69,61.17142857,5.69,16.74285714
53,5.8,66.62857143,5.8,16.45714286
54,5.91,76.25714286,5.91,19.08571429
55,6,85.8,6,30.94285714
56,6.11,79.28571429,6.11,25.97142857
57,6.22,65.6,6.22,19.05714286
58,6.33,51.6,6.33,11.94285714
59,6.44,37.11428571,6.44,10.22857143
60,6.55,216.4857143,6.55,13.82857143
61,6.66,500.7428571,6.66,28.11428571
